7002,1704288265,0,1,18,0,IN_SERVICE
7008,1704288265,0,1,18,0,IN_SERVICE
7023,1704288265,1,0,10,0,IN_SERVICE
7058,1704288265,13,0,6,0,IN_SERVICE
7063,1704288265,6,0,17,0,IN_SERVICE
7066,1704288265,4,0,13,0,IN_SERVICE
7078,1704288265,3,1,9,2,IN_SERVICE
7155,1704288265,2,0,17,0,IN_SERVICE
7170,1704288265,4,0,10,0,IN_SERVICE
7190,1704288265,3,0,12,0,IN_SERVICE
7191,1704288265,2,0,9,0,IN_SERVICE
7195,1704288265,2,0,9,0,IN_SERVICE
7250,1704288265,6,0,10,0,IN_SERVICE
7252,1704288265,1,1,16,0,IN_SERVICE
7273,1704288265,9,1,9,1,IN_SERVICE
7274,1704288265,10,0,6,0,IN_SERVICE
7285,1704288265,12,0,24,0,IN_SERVICE
7335,1704288265,1,0,18,0,IN_SERVICE
7358,1704288265,6,0,11,0,IN_SERVICE
7457,1704288265,1,0,22,0,IN_SERVICE
7600,1704288265,2,0,18,0,IN_SERVICE
7667,1704288265,2,0,33,0,IN_SERVICE
7762,1704288265,2,1,9,1,IN_SERVICE
7002,1704288890,0,1,18,0,IN_SERVICE
7008,1704288890,1,1,17,0,IN_SERVICE
7023,1704288890,0,0,11,0,IN_SERVICE
7058,1704288890,12,0,7,0,IN_SERVICE
7063,1704288890,6,0,17,0,IN_SERVICE
7066,1704288890,5,0,12,0,IN_SERVICE
7078,1704288890,2,1,10,2,IN_SERVICE
7155,1704288890,1,0,18,0,IN_SERVICE
7170,1704288890,3,0,11,0,IN_SERVICE
7190,1704288890,3,0,12,0,IN_SERVICE
7191,1704288890,2,0,9,0,IN_SERVICE
7195,1704288890,1,0,10,0,IN_SERVICE
7250,1704288890,6,0,10,0,IN_SERVICE
7252,1704288890,1,1,16,0,IN_SERVICE
7273,1704288890,9,1,9,1,IN_SERVICE
7274,1704288890,12,0,4,0,IN_SERVICE
7285,1704288890,11,0,25,0,IN_SERVICE
7335,1704288890,2,0,17,0,IN_SERVICE
7358,1704288890,6,0,11,0,IN_SERVICE
7457,1704288890,1,0,22,0,IN_SERVICE
7600,1704288890,2,0,18,0,IN_SERVICE
7667,1704288890,2,0,33,0,IN_SERVICE
7762,1704288890,2,1,9,1,IN_SERVICE
